Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Other,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee Enforce law to protect the mangroves,Provide oxygen Other,Yes,Yes,Yes,Yes,Yes,Yes,1500.0,Other Melon,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Irrigation canals Plant trees in the gardens Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun Other Fishing Trap
Male,From 25 to 35,Primary school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Elaborate a plan with community management Organize a management committee Enforce law to protect the mangroves,Provide oxygen Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,2500.0,Yam Corn Pigeon pea Other Banana tree Melon,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Hook Gun Other Diving glasses
Male,From 35 to 55,None,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee,Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,2500.0,Corn Pigeon pea Other Melon,Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Hook Gun
Male,From 35 to 55,None,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee,Provide oxygen,Yes,Yes,Yes,Yes,Yes,Yes,,Pigeon pea Corn,Soil conservation with dry walls Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Other Fishing Trap
Male,From 25 to 35,High school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans,No,,Yes,Organize a management committee Other,Natural medicines,Yes,Yes,Yes,Yes,Yes,Yes,2500.0,Corn Other Melon,Plant trees in the gardens Cut off trees in the garden Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Hook Gun
Male,From 35 to 55,Primary school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,Yes,Other,No,,Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Other,Yes,Other Organize a management committee,Provide oxygen,No,Yes,Yes,Yes,Yes,Yes,3000.0,Corn Banana tree Sorgho Pigeon pea Yam Other Melon,Cultivate seasonal crops on the mountainsides Irrigation canals Soil conservation with dry walls Soil conservation with living ramp Plant trees in the gardens Plant bamboos on the mountainsides Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,,pirogue Hook Gun
Male,From 25 to 35,High school,Yes,Fishing Agriculture,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Protect the reefs,Yes,Community over-exploitation of mangroves,Yes,Other,Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,15000.0,Banana tree Pigeon pea,Cultivate seasonal crops on the mountainsides Plowing the soil Soil conservation with dry walls Irrigation canals Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Other
Male,Greater than 55,None,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Growing environment for crustaceans Other,Yes,Community over-exploitation of mangroves,Yes,Organize a management committee,Protection against flooding Wind breaker Other,No,Yes,Yes,Yes,Yes,Yes,2500.0,Other Peach,Other,Parking for the boats Fishing Cut dead trees,,pirogue Gun Other Hook
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Birds habitat Growing environment for crustaceans,Yes,Community over-exploitation of mangroves Other,Yes,Elaborate a plan with community management Other,Provide oxygen Controle the earth temperature,Yes,Yes,Yes,Yes,Yes,Yes,1500.0,Corn Pigeon pea Other Melon,Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Cut dead trees Fishing,Other,pirogue Hook Gun
Male,From 35 to 55,High school,Yes,Fishing Agriculture Animal breeding Charcoal with woods of other trees,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Other,No,,No,,Other,Yes,Yes,Yes,Yes,Yes,No,1000.0,Banana tree Pigeon pea Corn Sorgho Other Peach,Cultivate seasonal crops on the mountainsides Soil conservation with living ramp Plant trees in the gardens Plant bamboos on the mountainsides Cut off trees in the garden Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil Other,Parking for the boats Cut dead trees Fishing Other,,Gun Hook
Male,Greater than 55,Primary school,Yes,Agriculture Fishing Animal breeding,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products) Prevent flooding,Yes,Community over-exploitation of mangroves Other,Yes,Soil conservation in the mountains Elaborate a plan with community management,Provide food for human and animals Controle the earth temperature Provide oxygen,Yes,Yes,Yes,Yes,Yes,Yes,300.0,Pigeon pea Corn Sorgho Other Melon,Plant trees in the gardens Cut off trees in the garden Burn the soil with the weeds Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,Hook pirogue Other Fishing Trap
Male,From 25 to 35,High school,Yes,Fishing,A tree that grows in forest by the sea,No,,No,,It contributes to food security (thank to fishing products) Prevent flooding Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Mangroves become a dumping ground for garbage,Yes,Organize a management committee Valorize mangroves forest with tourism Enforce law to protect the mangroves Elaborate a plan with community management,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Controle the earth temperature Natural medicines Provide oxygen Protection against flooding Wind breaker,No,Yes,Yes,Yes,Yes,Yes,400.0,Corn Pigeon pea,Soil conservation with dry walls Irrigation canals Plant trees in the gardens Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Fishing,,pirogue Hook
Male,From 35 to 55,Primary school,No,Agriculture Animal breeding Fishing,Don't know,,,,,,,,,,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,800.0,Peanut Corn Sorgho Pigeon pea Bean (Haricot) Yam,Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Plant bamboos on the mountainsides Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Fishing,,pirogue Hook
Male,Greater than 55,None,Yes,Fishing,A tree that grows in forest by the sea,No,,Yes,Don't cut them,It contributes to food security (thank to fishing products) Birds habitat Growing environment for crustaceans,No,,No,,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding,No,No,Yes,Yes,Yes,Yes,400.0,Other Peach,Plowing the soil Plant bamboos on the mountainsides Put organic fertilizer in the soil Breed animals after the crops to fertilize the soil,Parking for the boats Fishing,,pirogue Hook Gun
Male,Greater than 55,None,Yes,Fishing,Don't know,,,,,,,,,,Don't know,No,Yes,Yes,Yes,Yes,Yes,100.0,Other Peach,,Fishing,,pirogue Hook Gun
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Don't know,Yes,Don't cut them,Protect the reefs It contributes to food security (thank to fishing products),Yes,Community over-exploitation of mangroves Decrease in the sea level,Yes,Elaborate a plan with community management Enforce law to protect the mangroves,Provide food for human and animals Wind breaker,No,Yes,Yes,Yes,Yes,Yes,2000.0,,,Parking for the boats Fishing,,pirogue Hook Other
