Sex,Age interval,Education level,Access to phone,Income source,What are mangroves?,Do you know the laws about mangroves?,What text of law about the environment do you know?,Do you know what the laws say about mangroves protection?,What does the law about the environment and mangrove protection say?,What is the importance of the mangroves?,Are mangroves in danger?,Why do you believe the mangroves are in danger?,Do you know what can be done to protect the mangroves?,What can be done to protect the mangroves according to you?,What is the importance of trees according to you?,Do you have skills in tree nursery,Are you willing to be trained in tree nursery?,Are you willing to be trained in mangroves nursery?,Are you willing to learn new fishing technics?,Are you willing to use better fishing equipement to protect the baby fishes?,Do you go to fish every week of a month?,What is your average fishing income on a week?,What culture you practice the best?,What agricultural practices do you know?,"For the pass 12 months, what activities did you do in the mangroves?",When do you use to cut out the mangroves?,What equipement you use in fishing?
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,Yes,Other,Yes,Don't cut them Don't know Do not throw garbage in the mangroves,It contributes to food security (thank to fishing products) Prevent flooding Protect the reefs Birds habitat Other,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Mangroves become a dumping ground for garbage,Yes,Organize a management committee Elaborate a plan with community management Use mangroves areas for bee keeping Plant more mangroves Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Soil conservation in the mountains Other,Provide food for human and animals Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Provide oxygen Controle the earth temperature Protection against flooding,No,Yes,Yes,Yes,Yes,Yes,3000.0,Corn Pigeon pea Other Banana tree Melon,Cultivate seasonal crops on the mountainsides Soil conservation with dry walls Soil conservation with living ramp Irrigation canals Plant trees in the gardens Cut off trees in the garden Put organic fertilizer in the soil,Cut out living trees Cut dead trees Fishing,Other September August,pirogue Other Small mesh net
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans Other,Yes,Absence of government/no control of mangroves exploitation Continuous deposition of sediments in mangroves Community over-exploitation of mangroves Decrease in the sea level Urbanization of mangrove areas Mangroves become a dumping ground for garbage,Yes,Elaborate a plan with community management Use mangroves areas for bee keeping Valorize mangroves forest with tourism Soil conservation in the mountains,Provide food for human and animals Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Other,No,Yes,Yes,Yes,Yes,Yes,3000.0,Other Peach,Other,Cut out living trees Cut dead trees Fishing,September November Other,pirogue Small mesh net Hook Other
Male,Less than 25,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products) Protect the reefs Birds habitat,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Decrease in the sea level,Yes,Elaborate a plan with community management Organize a management committee Plant more mangroves Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Other,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding,No,Yes,Yes,Yes,Yes,Yes,4000.0,Other Peach,Other,Cut dead trees Cut out living trees Fishing,September November Other,pirogue Small mesh net Hook Other
Male,From 25 to 35,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products) Protect the reefs Birds habitat Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Organize a management committee Elaborate a plan with community management Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Provide oxygen Protection against flooding Wind breaker Provide food for human and animals,No,Yes,Yes,Yes,Yes,Yes,4000.0,Other Peach,Other,Cut out living trees Cut dead trees Fishing,September November August Other,Small mesh net Hook pirogue Other
Male,From 35 to 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products) Prevent flooding Protect the reefs Birds habitat,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Elaborate a plan with community management Use mangroves areas for bee keeping Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Soil conservation in the mountains Other,Protect soil agains erosion Facilitate water filtration to the ground Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Wind breaker,No,Yes,Yes,Yes,Yes,Yes,4000.0,Other Peach,Other,Cut dead trees Cut out living trees Fishing,July September Other,Hook pirogue Small mesh net Other
Male,From 25 to 35,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Mangroves become a dumping ground for garbage,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Soil conservation in the mountains use of fishing tools that are more durable Other,Facilitate water filtration to the ground Natural medicines Provide oxygen Protection against flooding Wind breaker,No,Yes,Yes,Yes,Yes,Yes,3500.0,Other Peach,Other,Cut out living trees Cut dead trees Fishing,June August September Other,pirogue Small mesh net Hook Other
Male,Greater than 55,Primary school,Yes,Other Agriculture Animal breeding Charcoal with woods of other trees,A tree that grows in forest by the sea,Yes,Mangroves Decree (2013),Yes,Don't know Don't cut them Do not throw garbage in the mangroves Other,It contributes to food security (thank to fishing products) Prevent flooding Birds habitat Growing environment for crustaceans Protect the reefs,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Decrease in the sea level Urbanization of mangrove areas Continuous deposition of sediments in mangroves Mangroves become a dumping ground for garbage Other,Yes,Elaborate a plan with community management Organize a management committee Use mangroves areas for bee keeping Valorize mangroves forest with tourism Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Plant more mangroves Soil conservation in the mountains,Protect soil agains erosion Don't know Provide food for human and animals Natural medicines Controle the earth temperature Provide oxygen Wind breaker Other Protection against flooding,Yes,Yes,Yes,Yes,Yes,Yes,10000.0,Corn Pigeon pea Bean (Haricot) Yam Banana tree Other Melon,Soil conservation with dry walls Irrigation canals Plant trees in the gardens Plant bamboos on the mountainsides Cut off trees in the garden Breed animals after the crops to fertilize the soil Put organic fertilizer in the soil Other,Fishing,,pirogue Small mesh net Hook Other
Male,Greater than 55,Primary school,Yes,Fishing,A tree that grows in forest by the sea,No,,,,Prevent flooding Protect the reefs Birds habitat Growing environment for crustaceans It contributes to food security (thank to fishing products),Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Organize a management committee Elaborate a plan with community management Use mangroves areas for bee keeping Valorize mangroves forest with tourism Enforce law to protect the mangroves Educate and sensitize the population on how to exploit mangroves Plant more mangroves Soil conservation in the mountains Other,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Other Peach,Other,Fishing,June November September Other,pirogue Small mesh net Hook Other
Male,From 35 to 55,Primary school,Yes,Fishing Animal breeding,A tree that grows in forest by the sea,No,,,,It contributes to food security (thank to fishing products) Protect the reefs Birds habitat Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Decrease in the sea level Urbanization of mangrove areas Continuous deposition of sediments in mangroves Mangroves become a dumping ground for garbage,Yes,Organize a management committee Elaborate a plan with community management Use mangroves areas for bee keeping Valorize mangroves forest with tourism Plant more mangroves Educate and sensitize the population on how to exploit mangroves Soil conservation in the mountains,Don't know Protect soil agains erosion Provide food for human and animals Facilitate water filtration to the ground Natural medicines Controle the earth temperature Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,5000.0,Other Peach,Plowing the soil Soil conservation with living ramp Cut off trees in the garden Plant bamboos on the mountainsides Burn the soil with the weeds Breed animals after the crops to fertilize the soil,Fishing,April July September Other,Small mesh net pirogue Hook Other
Male,From 25 to 35,Primary school,Yes,Fishing Animal breeding,A tree that grows in forest by the sea,No,,,,Protect the reefs Prevent flooding Birds habitat Growing environment for crustaceans,Yes,Absence of government/no control of mangroves exploitation Community over-exploitation of mangroves Continuous deposition of sediments in mangroves Decrease in the sea level Urbanization of mangrove areas,Yes,Organize a management committee Elaborate a plan with community management Use mangroves areas for bee keeping Plant more mangroves Educate and sensitize the population on how to exploit mangroves Enforce law to protect the mangroves Valorize mangroves forest with tourism Soil conservation in the mountains Other,Protect soil agains erosion Facilitate water filtration to the ground Natural medicines Provide food for human and animals Controle the earth temperature Provide oxygen Protection against flooding Wind breaker,Yes,Yes,Yes,Yes,Yes,Yes,2000.0,Other Peach,Other,Fishing,September November July Other,pirogue Small mesh net Hook Other
